label	query
French Polynesians	French Polynesia
Tahitians	French Polynesia
Gabonese	Gabon
Gambians	Gambia
Georgians	Georgia
Germans	Germany
Ghanaians	Ghana
Gibraltarians	Gibraltar
Briton	Great Britain
Britons	Great Britain
Greeks	Greece
Grecians	Greece
Hellene	Greece
Hellenes	Greece
Greenlander	Greenland
Greenlanders	Greenland
Grenadians	Grenada
Guadeloupians	Guadeloupe
Guamanians	Guam
Guatemalans	Guatemala
Guineans	Guinea
Guineans	Guinea-Bissau
Guyanese	Guyana
Haitians	Haiti
Hondurans	Honduras
Hongkonger	Hong Kong
Hongkongers	Hong Kong
Hongkongese	Hong Kong
Hungarians	Hungary
Magyars	Hungary
Icelander	Iceland
Icelanders	Iceland
Indians	India
Indonesians	Indonesia
Iranians	Iran
Persians	Iran
Iraqis	Iraq
Irish	Ireland
Manx	Isle of Man
Israelis	Israel
Italians	Italy
Italics	Italy
Jamaicans	Jamaica
Japanese	Japan
Jordanians	Jordan
Kazakhstanis	Kazakhstan
Kazakhs	Kazakhstan
Kenyans	Kenya
I-Kiribati	Kiribati
Kosovars	Kosovo
Kuwaitis	Kuwait
Kyrgyzstanis	Kyrgyzstan
Kyrgyz	Kyrgyzstan
Kirgiz	Kyrgyzstan
Kirghiz	Kyrgyzstan
Laotians	Laos
Laos	Laos
Latvians	Latvia
Letts	Latvia
Lebanese	Lebanon
Basotho	Lesotho
Liberians	Liberia
Libyans	Libya
Liechtensteiner	Liechtenstein
Liechtensteiners	Liechtenstein
Lithuanians	Lithuania
Luxembourger	Luxembourg
Luxembourgers	Luxembourg
Macanese	Macau
Chinese	Macau
Malagasy	Madagascar
Malawians	Malawi
Malaysians	Malaysia
Maldivians	Maldives
Malians	Mali
Maltese	Malta
Marshallese	Marshall Islands
Martiniquais	Martinique
Martiniquaise	Martinique
Mauritanians	Mauritania
Mauritians	Mauritius
Mahorais	Mayotte
Mahoraise	Mayotte
Mexicans	Mexico
Micronesians	Micronesia
Moldovans	Moldova
Monégasques	Monaco
Monacans	Monaco
Mongolians	Mongolia
Mongols	Mongolia
Montenegrins	Montenegro
Montserratians	Montserrat
Moroccans	Morocco
Mozambicans	Mozambique
Namibians	Namibia
Nauruans	Nauru
Nepalese	Nepal
Nepali	Nepal
Dutch	Netherlands
New Caledonians	New Caledonia
New Zealander	New Zealand
New Zealanders	New Zealand
Nicaraguans	Nicaragua
Nigeriens	Niger
Nigeriennes	Niger
Nigerians	Nigeria
Niueans	Niue
Koreans	North Korea
Northern Irish	Northern Ireland
Northern Marianans	Northern Marianas
Norwegians	Norway
Omanis	Oman
Pakistanis	Pakistan
Palauans	Palau
Palestinians	Palestine
Panamanians	Panama
Papua New Guineans	Papua New Guinea
Papuans	Papua New Guinea
Paraguayans	Paraguay
Chinese	People's Republic of China
Peruvians	Peru
Filipinos	Philippines
Filipinas	Philippines
Pitcairn Islanders	Pitcairn Island
Pole	Poland
Poles	Poland
Portuguese	Portugal
Puerto Ricans	Puerto Rico
Boricuas	Puerto Rico
Qataris	Qatar
Chinese	Republic of China
Irish	Republic of Ireland
Southern Irish	Republic of Ireland
Macedonians	Republic of Macedonia
Congolese	Republic of the Congo
Romanians	Romania
Russians	Russia
Rwandans	Rwanda
Réunionese	Réunion
Réunionnais	Réunion
Réunionnaise	Réunion
Reunionese	Réunion
Saint-Pierrais	Saint-Pierre and Miquelon
Saint-Pierraise	Saint-Pierre and Miquelon
Miquelonnais	Saint-Pierre and Miquelon
Miquelonnaise	Saint-Pierre and Miquelon
Samoans	Samoa
Sammarinese	San Marino
Saudis	Saudi Arabia
Saudi Arabians	Saudi Arabia
Scots	Scotland
Scotsmen	Scotland
Scotswomen	Scotland
Senegalese	Senegal
Serbs	Serbia
Serbians	Serbia
Seychellois	Seychelles
Sierra Leoneans	Sierra Leone
Singaporeans	Singapore
Slovaks	Slovakia
Slovenians	Slovenia
Slovenes	Slovenia
Solomon Islander	Solomon Islands
Solomon Islanders	Solomon Islands
Somalis	Somalia
Somalians	Somalia
South Africans	South Africa
Koreans	South Korea
South Ossetians	South Ossetia
South Sudanese	South Sudan
Spaniard	Spain
Spaniards	Spain
Sri Lankans	Sri Lanka
St. Helenians	St. Helena
St Helenians	St. Helena
Kittitians	St. Kitts and Nevis
Nevisians	St. Kitts and Nevis
St. Lucians	St. Lucia
St Lucians	St. Lucia
St. Vincentians	St. Vincent and the Grenadines
St Vincentians	St. Vincent and the Grenadines
Vincentians	St. Vincent and the Grenadines
Sudanese	Sudan
Surinamer	Surinam
Surinamers	Surinam
Swazis	Swaziland
Swede	Sweden
Swedes	Sweden
Swiss	Switzerland
Syrians	Syria
São Toméans	São Tomé and Príncipe
Sao Tomeans	São Tomé and Príncipe
Taiwanese	Taiwan
Tajikistanis	Tajikistan
Tajiks	Tajikistan
Tanzanians	Tanzania
Thai	Thailand
Togolese	Togo
Tongans	Tonga
Trinidadians	Trinidad and Tobago
Tobagonians	Trinidad and Tobago
Tunisians	Tunisia
Turk	Turkey
Turks	Turkey
Turkmens	Turkmenistan
Turks and Caicos Islander	Turks and Caicos Islands
Turks and Caicos Islanders	Turks and Caicos Islands
Tuvaluans	Tuvalu
Ugandans	Uganda
Ukrainians	Ukraine
Emiratis	United Arab Emirates
Emirians	United Arab Emirates
Briton	United Kingdom
Britons	United Kingdom
Americans	United States
Uruguayans	Uruguay
Uzbekistanis	Uzbekistan
Uzbeks	Uzbekistan
Ni-Vanuatu	Vanuatu
Venezuelans	Venezuela
Vietnamese	Vietnam
Virgin Islander	Virgin Islands
Virgin Islanders	Virgin Islands
Welsh	Wales
Wallisians	Wallis and Futuna
Futunans	Wallis and Futuna
Sahrawis	Western Sahara
Sahraouis	Western Sahara
Yemenis	Yemen
Zambians	Zambia
Zimbabweans	Zimbabwe
